plate,well,compound,dose,control
1,E-10,Staurosporine,78.13,test
1,D-08,Staurosporine,19.53,test
1,D-04,Staurosporine,1.22,test
1,D-06,Staurosporine,4.88,test
1,D-06,Staurosporine,4.88,test
1,D-02,Staurosporine,0.0,negative
1,D-03,Staurosporine,0.61,test
1,D-07,Staurosporine,9.77,test
1,D-07,Staurosporine,9.77,test
1,D-09,Staurosporine,39.06,positive
1,E-11,Staurosporine,156.25,test
1,D-05,Staurosporine,2.44,test
1,E-10,Staurosporine,78.13,test
1,E-09,Staurosporine,39.06,positive
1,C-11,Staurosporine,156.25,test
1,D-02,Staurosporine,0.0,negative
1,D-03,Staurosporine,0.61,test
1,E-11,Staurosporine,156.25,test
1,C-10,Staurosporine,78.13,test
1,C-03,Staurosporine,0.61,test
1,E-02,Staurosporine,0.0,negative
1,D-11,Staurosporine,156.25,test
1,C-02,Staurosporine,0.0,negative
1,D-10,Staurosporine,78.13,test
1,C-04,Staurosporine,1.22,test
1,C-08,Staurosporine,19.53,test
1,E-05,Staurosporine,2.44,test
1,D-10,Staurosporine,78.13,test
1,C-04,Staurosporine,1.22,test
1,E-03,Staurosporine,0.61,test
1,E-03,Staurosporine,0.61,test
1,C-06,Staurosporine,4.88,test
1,C-06,Staurosporine,4.88,test
1,E-07,Staurosporine,9.77,test
1,C-02,Staurosporine,0.0,negative
1,E-08,Staurosporine,19.53,test
1,C-03,Staurosporine,0.61,test
1,C-07,Staurosporine,9.77,test
1,E-04,Staurosporine,1.22,test
1,E-04,Staurosporine,1.22,test
1,E-06,Staurosporine,4.88,test
1,D-11,Staurosporine,156.25,test
1,C-09,Staurosporine,39.06,positive
1,E-02,Staurosporine,0.0,negative
1,C-05,Staurosporine,2.44,test
1,C-05,Staurosporine,2.44,test
1,D-04,Staurosporine,1.22,test
1,D-04,Staurosporine,1.22,test
1,D-08,Staurosporine,19.53,test
1,E-10,Staurosporine,78.13,test
1,D-02,Staurosporine,0.0,negative
1,C-11,Staurosporine,156.25,test
1,D-06,Staurosporine,4.88,test
1,D-07,Staurosporine,9.77,test
1,D-03,Staurosporine,0.61,test
1,D-05,Staurosporine,2.44,test
1,D-05,Staurosporine,2.44,test
1,C-10,Staurosporine,78.13,test
1,E-11,Staurosporine,156.25,test
1,D-09,Staurosporine,39.06,positive
1,E-09,Staurosporine,39.06,positive
1,E-07,Staurosporine,9.77,test
1,C-11,Staurosporine,156.25,test
1,E-08,Staurosporine,19.53,test
1,C-10,Staurosporine,78.13,test
1,C-09,Staurosporine,39.06,positive
1,D-08,Staurosporine,19.53,test
1,C-02,Staurosporine,0.0,negative
1,D-10,Staurosporine,78.13,test
1,D-09,Staurosporine,39.06,positive
1,E-05,Staurosporine,2.44,test
1,C-08,Staurosporine,19.53,test
1,E-09,Staurosporine,39.06,positive
1,C-06,Staurosporine,4.88,test
1,E-03,Staurosporine,0.61,test
1,E-07,Staurosporine,9.77,test
1,E-07,Staurosporine,9.77,test
1,E-08,Staurosporine,19.53,test
1,E-08,Staurosporine,19.53,test
1,E-04,Staurosporine,1.22,test
1,C-07,Staurosporine,9.77,test
1,C-09,Staurosporine,39.06,positive
1,C-09,Staurosporine,39.06,positive
1,E-06,Staurosporine,4.88,test
1,C-05,Staurosporine,2.44,test
1,D-04,Staurosporine,1.22,test
1,D-08,Staurosporine,19.53,test
1,D-08,Staurosporine,19.53,test
1,D-06,Staurosporine,4.88,test
1,D-07,Staurosporine,9.77,test
1,D-05,Staurosporine,2.44,test
1,D-09,Staurosporine,39.06,positive
1,D-09,Staurosporine,39.06,positive
1,D-04,Staurosporine,1.22,test
1,E-10,Staurosporine,78.13,test
1,D-02,Staurosporine,0.0,negative
1,C-11,Staurosporine,156.25,test
1,C-11,Staurosporine,156.25,test
1,D-03,Staurosporine,0.61,test
1,C-10,Staurosporine,78.13,test
1,D-05,Staurosporine,2.44,test
1,C-10,Staurosporine,78.13,test
1,E-11,Staurosporine,156.25,test
1,C-03,Staurosporine,0.61,test
1,E-04,Staurosporine,1.22,test
1,D-11,Staurosporine,156.25,test
1,C-05,Staurosporine,2.44,test
1,E-02,Staurosporine,0.0,negative
1,C-06,Staurosporine,4.88,test
1,E-03,Staurosporine,0.61,test
1,C-02,Staurosporine,0.0,negative
1,C-02,Staurosporine,0.0,negative
1,C-04,Staurosporine,1.22,test
1,D-10,Staurosporine,78.13,test
1,D-10,Staurosporine,78.13,test
1,C-06,Staurosporine,4.88,test
1,E-03,Staurosporine,0.61,test
1,E-03,Staurosporine,0.61,test
1,C-02,Staurosporine,0.0,negative
1,E-07,Staurosporine,9.77,test
1,C-04,Staurosporine,1.22,test
1,C-04,Staurosporine,1.22,test
1,C-08,Staurosporine,19.53,test
1,E-05,Staurosporine,2.44,test
1,D-10,Staurosporine,78.13,test
1,C-09,Staurosporine,39.06,positive
1,E-06,Staurosporine,4.88,test
1,D-11,Staurosporine,156.25,test
1,C-05,Staurosporine,2.44,test
1,C-05,Staurosporine,2.44,test
1,E-02,Staurosporine,0.0,negative
1,E-02,Staurosporine,0.0,negative
1,E-04,Staurosporine,1.22,test
1,C-07,Staurosporine,9.77,test
1,C-03,Staurosporine,0.61,test
1,D-02,Staurosporine,0.0,negative
1,C-11,Staurosporine,156.25,test
1,D-06,Staurosporine,4.88,test
1,E-10,Staurosporine,78.13,test
1,D-08,Staurosporine,19.53,test
1,D-04,Staurosporine,1.22,test
1,D-04,Staurosporine,1.22,test
1,D-05,Staurosporine,2.44,test
1,C-10,Staurosporine,78.13,test
1,E-11,Staurosporine,156.25,test
1,E-11,Staurosporine,156.25,test
1,D-03,Staurosporine,0.61,test
1,D-03,Staurosporine,0.61,test
1,D-07,Staurosporine,9.77,test
1,E-07,Staurosporine,9.77,test
1,E-09,Staurosporine,39.06,positive
1,C-08,Staurosporine,19.53,test
1,C-09,Staurosporine,39.06,positive
1,C-10,Staurosporine,78.13,test
1,E-06,Staurosporine,4.88,test
1,E-08,Staurosporine,19.53,test
1,D-08,Staurosporine,19.53,test
1,D-09,Staurosporine,39.06,positive
1,D-07,Staurosporine,9.77,test
1,E-03,Staurosporine,0.61,test
1,C-06,Staurosporine,4.88,test
1,E-07,Staurosporine,9.77,test
1,E-07,Staurosporine,9.77,test
1,C-04,Staurosporine,1.22,test
1,E-09,Staurosporine,39.06,positive
1,E-05,Staurosporine,2.44,test
1,C-08,Staurosporine,19.53,test
1,C-08,Staurosporine,19.53,test
1,E-06,Staurosporine,4.88,test
1,E-06,Staurosporine,4.88,test
1,C-09,Staurosporine,39.06,positive
1,C-09,Staurosporine,39.06,positive
1,E-02,Staurosporine,0.0,negative
1,C-05,Staurosporine,2.44,test
1,C-07,Staurosporine,9.77,test
1,E-04,Staurosporine,1.22,test
1,E-08,Staurosporine,19.53,test
1,D-06,Staurosporine,4.88,test
1,D-08,Staurosporine,19.53,test
1,D-08,Staurosporine,19.53,test
1,D-04,Staurosporine,1.22,test
1,D-05,Staurosporine,2.44,test
1,E-11,Staurosporine,156.25,test
1,D-09,Staurosporine,39.06,positive
1,D-03,Staurosporine,0.61,test
1,D-07,Staurosporine,9.77,test
1,D-07,Staurosporine,9.77,test
1,D-02,Staurosporine,0.0,negative
1,C-11,Staurosporine,156.25,test
1,E-10,Staurosporine,78.13,test
1,D-04,Staurosporine,1.22,test
1,C-10,Staurosporine,78.13,test
1,C-10,Staurosporine,78.13,test
1,E-11,Staurosporine,156.25,test
1,D-03,Staurosporine,0.61,test
1,D-11,Staurosporine,156.25,test
1,E-02,Staurosporine,0.0,negative
1,C-05,Staurosporine,2.44,test
1,C-03,Staurosporine,0.61,test
1,C-04,Staurosporine,1.22,test
1,D-10,Staurosporine,78.13,test
1,C-02,Staurosporine,0.0,negative
1,E-03,Staurosporine,0.61,test
1,E-07,Staurosporine,9.77,test
1,C-02,Staurosporine,0.0,negative
1,C-06,Staurosporine,4.88,test
1,C-06,Staurosporine,4.88,test
1,E-03,Staurosporine,0.61,test
1,E-05,Staurosporine,2.44,test
1,E-05,Staurosporine,2.44,test
1,D-10,Staurosporine,78.13,test
1,C-08,Staurosporine,19.53,test
1,C-04,Staurosporine,1.22,test
1,E-09,Staurosporine,39.06,positive
1,E-02,Staurosporine,0.0,negative
1,C-05,Staurosporine,2.44,test
1,C-09,Staurosporine,39.06,positive
1,E-06,Staurosporine,4.88,test
1,D-11,Staurosporine,156.25,test
1,E-08,Staurosporine,19.53,test
1,C-03,Staurosporine,0.61,test
1,E-04,Staurosporine,1.22,test
1,E-04,Staurosporine,1.22,test
1,C-07,Staurosporine,9.77,test
1,C-07,Staurosporine,9.77,test
1,D-06,Staurosporine,4.88,test
1,C-11,Staurosporine,156.25,test
1,D-06,Staurosporine,4.88,test
1,D-02,Staurosporine,0.0,negative
1,D-04,Staurosporine,1.22,test
1,E-10,Staurosporine,78.13,test
1,D-08,Staurosporine,19.53,test
1,E-11,Staurosporine,156.25,test
1,D-09,Staurosporine,39.06,positive
1,D-05,Staurosporine,2.44,test
1,D-05,Staurosporine,2.44,test
1,D-07,Staurosporine,9.77,test
1,D-03,Staurosporine,0.61,test
1,C-11,Staurosporine,156.25,test
1,D-02,Staurosporine,0.0,negative
1,E-10,Staurosporine,78.13,test
1,E-09,Staurosporine,39.06,positive
1,C-10,Staurosporine,78.13,test
1,E-08,Staurosporine,19.53,test
1,D-11,Staurosporine,156.25,test
1,C-03,Staurosporine,0.61,test
1,D-10,Staurosporine,78.13,test
1,D-09,Staurosporine,39.06,positive
1,C-02,Staurosporine,0.0,negative
1,E-07,Staurosporine,9.77,test
1,C-06,Staurosporine,4.88,test
1,C-08,Staurosporine,19.53,test
1,E-05,Staurosporine,2.44,test
1,E-09,Staurosporine,39.06,positive
1,E-09,Staurosporine,39.06,positive
1,E-06,Staurosporine,4.88,test
1,C-09,Staurosporine,39.06,positive
1,E-08,Staurosporine,19.53,test
1,E-08,Staurosporine,19.53,test
1,C-07,Staurosporine,9.77,test
1,E-04,Staurosporine,1.22,test
1,D-06,Staurosporine,4.88,test
1,D-08,Staurosporine,19.53,test
1,D-09,Staurosporine,39.06,positive
1,D-09,Staurosporine,39.06,positive
1,D-05,Staurosporine,2.44,test
1,D-07,Staurosporine,9.77,test
1,C-11,Staurosporine,156.25,test
1,D-06,Staurosporine,4.88,test
1,C-11,Staurosporine,156.25,test
1,D-02,Staurosporine,0.0,negative
1,D-02,Staurosporine,0.0,negative
1,D-04,Staurosporine,1.22,test
1,E-10,Staurosporine,78.13,test
1,E-10,Staurosporine,78.13,test
1,E-11,Staurosporine,156.25,test
1,C-10,Staurosporine,78.13,test
1,D-05,Staurosporine,2.44,test
1,D-03,Staurosporine,0.61,test
1,C-05,Staurosporine,2.44,test
1,E-02,Staurosporine,0.0,negative
1,D-11,Staurosporine,156.25,test
1,D-11,Staurosporine,156.25,test
1,C-03,Staurosporine,0.61,test
1,C-03,Staurosporine,0.61,test
1,C-07,Staurosporine,9.77,test
1,E-04,Staurosporine,1.22,test
1,E-05,Staurosporine,2.44,test
1,D-10,Staurosporine,78.13,test
1,D-10,Staurosporine,78.13,test
1,C-04,Staurosporine,1.22,test
1,E-03,Staurosporine,0.61,test
1,C-06,Staurosporine,4.88,test
1,C-02,Staurosporine,0.0,negative
1,C-02,Staurosporine,0.0,negative
